,namaLokasi,dateTime,dateTimeISO,tanggalKuota,jamKuota,totalKuota,sisaKuota,jakiKuota,wilayah,kecamatan,kelurahan,jenisFaskes,ADDRESS,location,point,latitude,longitude
48,RPTRA PLANET SENEN,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,97,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated,"RPTRA PLANET SENEN,SENEN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
49,RPTRA PLANET SENEN,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,97,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated,"RPTRA PLANET SENEN,SENEN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
50,SMP 112 PEJAGALAN,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,96,deprecated,KOTA ADM. JAKARTA UTARA,PENJARINGAN,PEJAGALAN,deprecated,"SMP 112 PEJAGALAN,PENJARINGAN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
51,SDN 01 PINANGSIA,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,96,deprecated,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,deprecated,"SDN 01 PINANGSIA,TAMAN SARI,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
52,RPTRA PLANET SENEN,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,96,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated,"RPTRA PLANET SENEN,SENEN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
53,SMPN 8 JAKARTA,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,95,deprecated,KOTA ADM. JAKARTA PUSAT,MENTENG,MENTENG,deprecated,"SMPN 8 JAKARTA,MENTENG,JAKARTA,INDONESIA","SMPN 8, Jalan Pangeran Diponegoro, RW 02, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, 10310, Indonesia","(-6.2011131, 106.8428777, 0.0)",-6.2011131,106.8428777
54,RPTRA PLANET SENEN,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,95,deprecated,KOTA ADM. JAKARTA PUSAT,SENEN,SENEN,deprecated,"RPTRA PLANET SENEN,SENEN,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
55,RPTRA SUNGAI BAMBU,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,95,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated,"RPTRA SUNGAI BAMBU,TANJUNG PRIOK,JAKARTA,INDONESIA","RPTRA Sungai Bambu, Sungai Bambu, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14330, Indonesia","(-6.1302611, 106.89094102845658, 0.0)",-6.1302611,106.89094102845658
56,GOR MANGGA DUA SELATAN,2021-07-14T10:00:00,2021-07-14T10:00:00.000Z,7/14/2021,10:00:00,100,94,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated,"GOR MANGGA DUA SELATAN,SAWAH BESAR,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
57,SDN 01 PINANGSIA,2021-07-15T11:00:00,2021-07-15T11:00:00.000Z,7/15/2021,11:00:00,100,94,deprecated,KOTA ADM. JAKARTA BARAT,TAMAN SARI,PINANGSIA,deprecated,"SDN 01 PINANGSIA,TAMAN SARI,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
58,GOR MANGGA DUA SELATAN,2021-07-16T10:00:00,2021-07-16T10:00:00.000Z,7/16/2021,10:00:00,100,94,deprecated,KOTA ADM. JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,deprecated,"GOR MANGGA DUA SELATAN,SAWAH BESAR,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
59,RPTRA MATAHARI,2021-07-15T10:00:00,2021-07-15T10:00:00.000Z,7/15/2021,10:00:00,100,94,deprecated,KOTA ADM. JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,deprecated,"RPTRA MATAHARI,CEMPAKA PUTIH,JAKARTA,INDONESIA",,"(0.0, 0.0, 0.0)",0.0,0.0
60,RPTRA SUNGAI BAMBU,2021-07-16T11:00:00,2021-07-16T11:00:00.000Z,7/16/2021,11:00:00,100,93,deprecated,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,deprecated,"RPTRA SUNGAI BAMBU,TANJUNG PRIOK,JAKARTA,INDONESIA","RPTRA Sungai Bambu, Sungai Bambu, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14330, Indonesia","(-6.1302611, 106.89094102845658, 0.0)",-6.1302611,106.89094102845658
61,KANTOR CAMAT CILINCING,2021-07-15T09:00:00,2021-07-15T09:00:00.000Z,7/15/2021,9:00:00,100,93,deprecated,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,deprecated,"KANTOR CAMAT CILINCING,CILINCING,JAKARTA,INDONESIA","Kantor Camat Cilincing, Gang Rupbasan, RW 08, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, 14120, Indonesia","(-6.1022744, 106.93940911778341, 0.0)",-6.1022744,106.93940911778341
